Updated On,Total Doses Administered
02/03/2021,37490.0
03/03/2021,37937.0
04/03/2021,41398.0
05/03/2021,44881.0
06/03/2021,46901.0
07/03/2021,46960.0
08/03/2021,49950.0
09/03/2021,41504.0
10/03/2021,41675.0
11/03/2021,44509.0
12/03/2021,46763.0
13/03/2021,48143.0
14/03/2021,48215.0
15/03/2021,51378.0
16/03/2021,63404.0
17/03/2021,63870.0
18/03/2021,67242.0
19/03/2021,69729.0
20/03/2021,71994.0
21/03/2021,72176.0
22/03/2021,75417.0
23/03/2021,77761.0
24/03/2021,77826.0
25/03/2021,81124.0
26/03/2021,84011.0
27/03/2021,86161.0
28/03/2021,86274.0
29/03/2021,86714.0
30/03/2021,88645.0
31/03/2021,88794.0
01/04/2021,94722.0
02/04/2021,96882.0
03/04/2021,100734.0
04/04/2021,102608.0
05/04/2021,106688.0
06/04/2021,109164.0
07/04/2021,113682.0
08/04/2021,120397.0
09/04/2021,126463.0
10/04/2021,131302.0
11/04/2021,134976.0
12/04/2021,144137.0
13/04/2021,151848.0
14/04/2021,158012.0
15/04/2021,161160.0
16/04/2021,166632.0
17/04/2021,170756.0
18/04/2021,172614.0
19/04/2021,180287.0
20/04/2021,186002.0
21/04/2021,190466.0
22/04/2021,197443.0
23/04/2021,204501.0
24/04/2021,209180.0
25/04/2021,210335.0
26/04/2021,216717.0
27/04/2021,222085.0
28/04/2021,227853.0
29/04/2021,234677.0
30/04/2021,241423.0
01/05/2021,245524.0
02/05/2021,246580.0
03/05/2021,252527.0
04/05/2021,256929.0
05/05/2021,261968.0
06/05/2021,267741.0
07/05/2021,273182.0
08/05/2021,277640.0
09/05/2021,278983.0
10/05/2021,285021.0
11/05/2021,288821.0
12/05/2021,290786.0
13/05/2021,293469.0
14/05/2021,295034.0
15/05/2021,296640.0
16/05/2021,297055.0
17/05/2021,302578.0
18/05/2021,308245.0
19/05/2021,313429.0
20/05/2021,318150.0
21/05/2021,321367.0
22/05/2021,323227.0
23/05/2021,324050.0
24/05/2021,327082.0
25/05/2021,328603.0
26/05/2021,329432.0
27/05/2021,330440.0
28/05/2021,331507.0
29/05/2021,332717.0
30/05/2021,333067.0
31/05/2021,334007.0
01/06/2021,336634.0
02/06/2021,343311.0
03/06/2021,351449.0
04/06/2021,362909.0
05/06/2021,372776.0
06/06/2021,376761.0
07/06/2021,384701.0
08/06/2021,390012.0
09/06/2021,395757.0
10/06/2021,400648.0
11/06/2021,405483.0
12/06/2021,410393.0
13/06/2021,414648.0
14/06/2021,420935.0
15/06/2021,426293.0
16/06/2021,438804.0
17/06/2021,453458.0
18/06/2021,468875.0
19/06/2021,478167.0
20/06/2021,480320.0
21/06/2021,494030.0
22/06/2021,505027.0
23/06/2021,517112.0
24/06/2021,529176.0
25/06/2021,540634.0
26/06/2021,551507.0
27/06/2021,557701.0
28/06/2021,573002.0
29/06/2021,580543.0
30/06/2021,593355.0
01/07/2021,604172.0
02/07/2021,614505.0
03/07/2021,623711.0
04/07/2021,629024.0
05/07/2021,643509.0
06/07/2021,654032.0
07/07/2021,
08/07/2021,
09/07/2021,
10/07/2021,
11/07/2021,
12/07/2021,
13/07/2021,
14/07/2021,
15/07/2021,
16/01/2021,401.0
17/01/2021,466.0
18/01/2021,722.0
19/01/2021,1254.0
20/01/2021,1254.0
21/01/2021,2163.0
22/01/2021,3947.0
23/01/2021,4061.0
24/01/2021,4416.0
25/01/2021,10886.0
26/01/2021,11021.0
27/01/2021,12407.0
28/01/2021,21430.0
29/01/2021,29322.0
30/01/2021,30573.0
31/01/2021,30688.0
01/02/2021,32329.0
02/02/2021,34848.0
03/02/2021,36100.0
04/02/2021,52645.0
05/02/2021,68628.0
06/02/2021,78498.0
07/02/2021,80284.0
08/02/2021,91026.0
09/02/2021,100295.0
10/02/2021,103044.0
11/02/2021,109906.0
12/02/2021,117506.0
13/02/2021,124056.0
14/02/2021,124177.0
15/02/2021,128424.0
16/02/2021,132946.0
17/02/2021,134325.0
18/02/2021,142950.0
19/02/2021,156552.0
20/02/2021,163919.0
21/02/2021,165621.0
22/02/2021,178910.0
23/02/2021,190166.0
24/02/2021,195245.0
25/02/2021,210946.0
26/02/2021,223134.0
27/02/2021,223134.0
28/02/2021,223134.0
01/03/2021,223134.0
02/03/2021,246658.0
03/03/2021,268169.0
04/03/2021,310530.0
05/03/2021,354473.0
06/03/2021,396169.0
07/03/2021,407866.0
08/03/2021,446529.0
09/03/2021,423058.0
10/03/2021,441178.0
11/03/2021,461071.0
12/03/2021,480338.0
13/03/2021,496625.0
14/03/2021,497722.0
15/03/2021,518114.0
16/03/2021,597787.0
17/03/2021,614990.0
18/03/2021,635553.0
19/03/2021,655677.0
20/03/2021,674602.0
21/03/2021,678170.0
22/03/2021,707326.0
23/03/2021,837889.0
24/03/2021,875007.0
25/03/2021,965022.0
26/03/2021,1020002.0
27/03/2021,1043681.0
28/03/2021,1044730.0
29/03/2021,1047861.0
30/03/2021,1080940.0
31/03/2021,1098355.0
01/04/2021,1127935.0
02/04/2021,1167002.0
03/04/2021,1203976.0
04/04/2021,1225287.0
05/04/2021,1262224.0
06/04/2021,1290110.0
07/04/2021,1338480.0
08/04/2021,1405074.0
09/04/2021,1454260.0
10/04/2021,1486087.0
11/04/2021,1498693.0
12/04/2021,1530751.0
13/04/2021,1549948.0
14/04/2021,1553876.0
15/04/2021,1555448.0
16/04/2021,1564454.0
17/04/2021,1586181.0
18/04/2021,1597465.0
19/04/2021,1676713.0
20/04/2021,1770372.0
21/04/2021,1824812.0
22/04/2021,1898130.0
23/04/2021,1960809.0
24/04/2021,2005823.0
25/04/2021,2020521.0
26/04/2021,2104727.0
27/04/2021,2192325.0
28/04/2021,2242653.0
29/04/2021,2349267.0
30/04/2021,2480734.0
01/05/2021,2574065.0
02/05/2021,2589899.0
03/05/2021,2675846.0
04/05/2021,2751204.0
05/05/2021,2785838.0
06/05/2021,2835452.0
07/05/2021,2919568.0
08/05/2021,3002857.0
09/05/2021,3027029.0
10/05/2021,3120516.0
11/05/2021,3197150.0
12/05/2021,3233331.0
13/05/2021,3280423.0
14/05/2021,3305992.0
15/05/2021,3362553.0
16/05/2021,3401496.0
17/05/2021,3471991.0
18/05/2021,3531930.0
19/05/2021,3569472.0
20/05/2021,3620350.0
21/05/2021,3665676.0
22/05/2021,3716056.0
23/05/2021,3753633.0
24/05/2021,3830284.0
25/05/2021,3899915.0
26/05/2021,3935243.0
27/05/2021,3981992.0
28/05/2021,4027266.0
29/05/2021,4073879.0
30/05/2021,4094193.0
31/05/2021,4137653.0
01/06/2021,4174820.0
02/06/2021,4200000.0
03/06/2021,4235371.0
04/06/2021,4274481.0
05/06/2021,4315221.0
06/06/2021,4339728.0
07/06/2021,4389697.0
08/06/2021,4451360.0
09/06/2021,4491566.0
10/06/2021,4585754.0
11/06/2021,4674511.0
12/06/2021,4758849.0
13/06/2021,4811949.0
14/06/2021,4891540.0
15/06/2021,4951863.0
16/06/2021,4998717.0
17/06/2021,5092307.0
18/06/2021,5210614.0
19/06/2021,5324600.0
20/06/2021,5360385.0
21/06/2021,5721227.0
22/06/2021,5989078.0
23/06/2021,6354626.0
24/06/2021,6523851.0
25/06/2021,6688421.0
26/06/2021,6841405.0
27/06/2021,6854797.0
28/06/2021,6976615.0
29/06/2021,7008658.0
30/06/2021,7022922.0
01/07/2021,7206783.0
02/07/2021,7445311.0
03/07/2021,7597121.0
04/07/2021,7629506.0
05/07/2021,7690157.0
06/07/2021,7712614.0
07/07/2021,
08/07/2021,
09/07/2021,
10/07/2021,
11/07/2021,
12/07/2021,
13/07/2021,
14/07/2021,
15/07/2021,
16/01/2021,2967.0
17/01/2021,3700.0
18/01/2021,7883.0
19/01/2021,15546.0
20/01/2021,16183.0
21/01/2021,25254.0
22/01/2021,25773.0
23/01/2021,38409.0
24/01/2021,38787.0
25/01/2021,51676.0
26/01/2021,51808.0
27/01/2021,53222.0
28/01/2021,70412.0
29/01/2021,73181.0
30/01/2021,105751.0
31/01/2021,108889.0
01/02/2021,144845.0
02/02/2021,181290.0
03/02/2021,219359.0
04/02/2021,263973.0
05/02/2021,308439.0
06/02/2021,330327.0
07/02/2021,335765.0
08/02/2021,353743.0
09/02/2021,373801.0
10/02/2021,388881.0
11/02/2021,409263.0
12/02/2021,430554.0
13/02/2021,451761.0
14/02/2021,452991.0
15/02/2021,483813.0
16/02/2021,485733.0
17/02/2021,496507.0
18/02/2021,529891.0
19/02/2021,547003.0
20/02/2021,557762.0
21/02/2021,558309.0
22/02/2021,579548.0
23/02/2021,588882.0
24/02/2021,597807.0
25/02/2021,621233.0
26/02/2021,637549.0
27/02/2021,637549.0
28/02/2021,637549.0
01/03/2021,637549.0
02/03/2021,658177.0
03/03/2021,689592.0
04/03/2021,733670.0
05/03/2021,777943.0
06/03/2021,828652.0
07/03/2021,830495.0
08/03/2021,996855.0
09/03/2021,882786.0
10/03/2021,945716.0
11/03/2021,951238.0
12/03/2021,1068778.0
13/03/2021,1155115.0
14/03/2021,1159704.0
15/03/2021,1238681.0
16/03/2021,1521806.0
17/03/2021,1633471.0
18/03/2021,1709461.0
19/03/2021,1781915.0
20/03/2021,1868362.0
21/03/2021,1893344.0
22/03/2021,1960951.0
23/03/2021,2090147.0
24/03/2021,2199108.0
25/03/2021,2326623.0
26/03/2021,2440263.0
27/03/2021,2555647.0
28/03/2021,2584553.0
29/03/2021,2587193.0
30/03/2021,2632950.0
31/03/2021,2739610.0
01/04/2021,2851813.0
02/04/2021,3064854.0
03/04/2021,3195814.0
04/04/2021,3346839.0
05/04/2021,3478610.0
06/04/2021,3676143.0
07/04/2021,3981969.0
08/04/2021,4165803.0
09/04/2021,4233637.0
10/04/2021,4491227.0
11/04/2021,4744755.0
12/04/2021,4952445.0
13/04/2021,5049345.0
14/04/2021,5225646.0
15/04/2021,5352860.0
16/04/2021,5426287.0
17/04/2021,5578006.0
18/04/2021,5686374.0
19/04/2021,5836677.0
20/04/2021,5964087.0
21/04/2021,6057111.0
22/04/2021,6169648.0
23/04/2021,6270782.0
24/04/2021,6362064.0
25/04/2021,6437127.0
26/04/2021,6557857.0
27/04/2021,6661790.0
28/04/2021,6761471.0
29/04/2021,6869722.0
30/04/2021,6967492.0
01/05/2021,7047770.0
02/05/2021,7110550.0
03/05/2021,7233171.0
04/05/2021,7359866.0
05/05/2021,7475869.0
06/05/2021,7604097.0
07/05/2021,7698767.0
08/05/2021,7782756.0
09/05/2021,7905698.0
10/05/2021,8108459.0
11/05/2021,8289734.0
12/05/2021,8410850.0
13/05/2021,8568033.0
14/05/2021,8713263.0
15/05/2021,8869524.0
16/05/2021,8994996.0
17/05/2021,9108969.0
18/05/2021,9188143.0
19/05/2021,9244503.0
20/05/2021,9364319.0
21/05/2021,9461804.0
22/05/2021,9521984.0
23/05/2021,9680319.0
24/05/2021,9866975.0
25/05/2021,9988331.0
26/05/2021,10065594.0
27/05/2021,10117955.0
28/05/2021,10151853.0
29/05/2021,10204573.0
30/05/2021,10247415.0
31/05/2021,10307600.0
01/06/2021,10366689.0
02/06/2021,10424975.0
03/06/2021,10585288.0
04/06/2021,10772252.0
05/06/2021,10922525.0
06/06/2021,11030034.0
07/06/2021,11134737.0
08/06/2021,11231592.0
09/06/2021,11409331.0
10/06/2021,11599819.0
11/06/2021,11778969.0
12/06/2021,11938798.0
13/06/2021,12032029.0
14/06/2021,12133333.0
15/06/2021,12205407.0
16/06/2021,12716811.0
17/06/2021,12982413.0
18/06/2021,13174680.0
19/06/2021,13509656.0
20/06/2021,13680378.0
21/06/2021,14235058.0
22/06/2021,14642396.0
23/06/2021,14978417.0
24/06/2021,15264572.0
25/06/2021,15512516.0
26/06/2021,15683198.0
27/06/2021,15744915.0
28/06/2021,15802730.0
29/06/2021,15856079.0
30/06/2021,15899022.0
01/07/2021,16116113.0
02/07/2021,16716028.0
03/07/2021,17118573.0
04/07/2021,17255736.0
05/07/2021,17384095.0
06/07/2021,17526845.0
07/07/2021,
08/07/2021,
09/07/2021,
10/07/2021,
11/07/2021,
12/07/2021,
13/07/2021,
14/07/2021,
15/07/2021,
16/01/2021,120.0
17/01/2021,120.0
18/01/2021,158.0
19/01/2021,165.0
20/01/2021,165.0
21/01/2021,281.0
22/01/2021,507.0
23/01/2021,790.0
24/01/2021,797.0
25/01/2021,1172.0
26/01/2021,1174.0
27/01/2021,1519.0
28/01/2021,1821.0
29/01/2021,1874.0
30/01/2021,2206.0
31/01/2021,2217.0
01/02/2021,2390.0
02/02/2021,2492.0
03/02/2021,2808.0
04/02/2021,3150.0
05/02/2021,3511.0
06/02/2021,3858.0
07/02/2021,3858.0
08/02/2021,4189.0
09/02/2021,4571.0
10/02/2021,5004.0
11/02/2021,5480.0
12/02/2021,6056.0
13/02/2021,6826.0
14/02/2021,6829.0
15/02/2021,7332.0
16/02/2021,8018.0
17/02/2021,8561.0
18/02/2021,9187.0
19/02/2021,10065.0
20/02/2021,11125.0
21/02/2021,11125.0
22/02/2021,12291.0
23/02/2021,13594.0
24/02/2021,14889.0
25/02/2021,16579.0
26/02/2021,18567.0
27/02/2021,18567.0
28/02/2021,18567.0
01/03/2021,18567.0
02/03/2021,21667.0
03/03/2021,23900.0
04/03/2021,26149.0
05/03/2021,28397.0
06/03/2021,30679.0
07/03/2021,30902.0
08/03/2021,33476.0
